Time resolution is 1 ps
time=                 880 	a=0010 	b=1101 	cin=1 	s=0000 	cout=1
time=                 890 	a=0010 	b=1101 	cin=0 	s=1111 	cout=0
time=                 900 	a=0010 	b=1110 	cin=0 	s=0000 	cout=1
time=                 910 	a=0010 	b=1110 	cin=1 	s=0001 	cout=1
time=                 920 	a=0010 	b=1110 	cin=0 	s=0000 	cout=1
time=                 930 	a=0010 	b=1111 	cin=0 	s=0001 	cout=1
time=                 940 	a=0010 	b=1111 	cin=1 	s=0010 	cout=1
time=                 950 	a=0010 	b=1111 	cin=0 	s=0001 	cout=1
time=                 960 	a=0010 	b=0000 	cin=0 	s=0010 	cout=0
time=                 970 	a=0010 	b=0000 	cin=1 	s=0011 	cout=0
time=                 980 	a=0010 	b=0000 	cin=0 	s=0010 	cout=0
time=                 990 	a=0011 	b=0000 	cin=0 	s=0011 	cout=0
time=                1000 	a=0011 	b=0001 	cin=0 	s=0100 	cout=0
